Epoch,Train Loss,Train Accuracy,Train Micro F1,Train Macro F1,Val Loss,Val Accuracy,Val Micro F1,Val Macro F1
1,2.610215491,0.21767708,0.217770987,0.215175782,2.34286941,0.311102468,0.310986429,0.304192386
2,2.074333008,0.368716626,0.368544609,0.364371466,2.064277865,0.424345741,0.424114765,0.414770445
3,1.839201742,0.441708039,0.441269891,0.439380935,1.852442255,0.456354628,0.456062016,0.442649647
4,1.688165779,0.490098714,0.490310973,0.48893174,1.75406022,0.520733755,0.520655637,0.517987567
5,1.55626869,0.52879156,0.528426507,0.527947011,1.590089468,0.549002495,0.549276182,0.544492757
6,1.435018462,0.566354783,0.566221895,0.565888535,1.414583726,0.580450101,0.581157272,0.576875203
7,1.331332918,0.600040894,0.599347382,0.599598532,1.491429054,0.575404347,0.574980432,0.575948497
8,1.244952167,0.622000511,0.621848574,0.621908323,1.24714025,0.64280199,0.643240225,0.645753535
9,1.166851758,0.646031078,0.646344086,0.646092583,1.330293574,0.641654418,0.641629184,0.641956462
10,1.097196869,0.668302393,0.667826715,0.668479155,1.234608908,0.691435571,0.691175562,0.691191612
11,1.032822474,0.686304759,0.686749978,0.687067066,1.317920822,0.693468911,0.693594106,0.693492307
12,0.979374551,0.704353246,0.703954159,0.704503539,1.004153547,0.728027045,0.728208438,0.728929749
13,0.925786437,0.719616163,0.719012127,0.720261035,1.036420032,0.731606569,0.732283562,0.734442033
14,0.879048343,0.732451084,0.732236847,0.733266978,1.06777158,0.740614208,0.740498347,0.741226875
15,0.840100401,0.746623194,0.745772842,0.747031328,0.866112526,0.761678942,0.76175006,0.762298603
16,0.794235692,0.759302415,0.759560183,0.760266952,0.895309958,0.768444848,0.769085065,0.76893574
17,0.754634028,0.769137346,0.769199247,0.770045668,0.899192727,0.777597046,0.777903694,0.776205095
18,0.72189124,0.781640332,0.781621949,0.782390047,0.846735873,0.781337686,0.781182603,0.780392729
19,0.701685221,0.786153152,0.786358219,0.786607133,0.815977601,0.797095671,0.797035208,0.800114271
20,0.669002625,0.795662856,0.796454029,0.796012552,0.811180727,0.807081548,0.807133688,0.807031318
21,0.643552381,0.803681529,0.803502433,0.804300936,0.807312394,0.811956289,0.811811767,0.813595334
22,0.618084055,0.810695291,0.810996643,0.811316094,0.879325693,0.808661986,0.808776183,0.808914345
23,0.595401871,0.815974734,0.816097623,0.816684245,0.721313545,0.818251418,0.818172448,0.818064873
24,0.580044683,0.822319182,0.821782956,0.822173624,0.90726781,0.816687192,0.816234672,0.817240206
25,0.556952329,0.82992463,0.829519296,0.830067371,0.726056053,0.833103981,0.832939874,0.831508089
26,0.533202063,0.837189822,0.836841831,0.837296922,0.607893019,0.837156132,0.837919493,0.839461062
27,0.517436389,0.840721324,0.840625646,0.840453067,0.785902677,0.834652275,0.834113158,0.835319838
28,0.502900784,0.844800193,0.844977046,0.845057798,0.761422291,0.849497614,0.849664767,0.850840418
29,0.481794931,0.852206802,0.851723106,0.851820523,0.829569872,0.856851867,0.857299389,0.85833659
30,0.467581827,0.85560391,0.855946577,0.855806409,0.726063075,0.855008859,0.855104301,0.857250063
31,0.45679406,0.859445318,0.859914875,0.859805727,0.749463014,0.857935979,0.858559658,0.85823652
32,0.443862728,0.862741405,0.862999225,0.86301189,0.537705445,0.874211738,0.87434973,0.874673721
33,0.425375017,0.867157427,0.867512125,0.867154067,0.598766009,0.868013966,0.868010926,0.867965183
34,0.414455504,0.872211342,0.87246186,0.872529111,0.560987682,0.877823357,0.877107575,0.877481793
35,0.402763393,0.8759582,0.876048416,0.875847568,0.562164971,0.875277922,0.874761145,0.87606673
